destination,source,balance
Norway,Argentina,22051658
Nepal,Argentina,2116478
New Zealand,Argentina,144113842
Oman,Argentina,97672422
Pakistan,Argentina,101912418
Panama,Argentina,169487611
Peru,Argentina,1588094707
Philippines,Argentina,309488491
Papua New Guinea,Argentina,257549
Poland,Argentina,506023500
Portugal,Argentina,99858859
Paraguay,Argentina,1017140462
Palestine,Argentina,1444003
Qatar,Argentina,49437987
Romania,Argentina,43977581
Russia,Argentina,650339837
Rwanda,Argentina,3174013
Saudi Arabia,Argentina,1010366624
Sudan,Argentina,3068140
Senegal,Argentina,90347846
Singapore,Argentina,102982331
Sierra Leone,Argentina,964023
El Salvador,Argentina,40163346
Serbia,Argentina,7637595
Suriname,Argentina,5229065
Slovakia,Argentina,36598847
Slovenia,Argentina,3038094
Sweden,Argentina,43335630
Syria,Argentina,69183264
Togo,Argentina,7501114
Thailand,Argentina,600679556
Trinidad And Tobago,Argentina,12122796
Tunisia,Argentina,121613822
Turkey,Argentina,514131090
Tanzania,Argentina,32243802
Uganda,Argentina,43846780
Ukraine,Argentina,35857849
Uruguay,Argentina,1135826613
United States,Argentina,4109531993
Uzbekistan,Argentina,2346816
St Vincent and the Grenadines,Argentina,125383
Venezuela,Argentina,126365984
Vietnam,Argentina,2806238093
Yemen,Argentina,173678124
South Africa,Argentina,599004621
Zambia,Argentina,987855
Zimbabwe,Argentina,8410615
United Arab Emirates,Armenia,57053784
Australia,Armenia,88226
Austria,Armenia,3482024
Azerbaijan,Armenia,3037922
Belgium,Armenia,44436194
Bulgaria,Armenia,207411351
Bahrain,Armenia,72873
Belarus,Armenia,17816295
Belize,Armenia,462000
Canada,Armenia,61194851
Switzerland,Armenia,457816241
Chile,Armenia,3
China,Armenia,193681983
Ivory Coast,Armenia,9
Colombia,Armenia,19719
Cyprus,Armenia,67032
Czech Republic,Armenia,3615865
Germany,Armenia,69522954
Denmark,Armenia,912461
Dominican Republic,Armenia,3298
Egypt,Armenia,10915
Spain,Armenia,613446
Estonia,Armenia,590703
Finland,Armenia,63686
France,Armenia,8720854
United Kingdom,Armenia,4449118
Georgia,Armenia,65503596
Ghana,Armenia,51376
Greece,Armenia,431927
Hong Kong,Armenia,4180200
Croatia,Armenia,254751
Hungary,Armenia,905746
India,Armenia,3476072
Ireland,Armenia,66878
Iran,Armenia,83837020
Iraq,Armenia,177271958
Israel,Armenia,7255014
Italy,Armenia,59680328
Jordan,Armenia,760524
Japan,Armenia,1483117
Kazakhstan,Armenia,5397382
Kenya,Armenia,14670
